Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2009-09-21,89.69,90.76,88.48,90.56,90.33666666666666,4209300,0.0030966625055378573,1
2009-09-22,91.46,94.19,91.1,93.75,93.13333333333333,8264900,0.03461905039564742,1
2009-09-23,92.82,94.5,92.22,92.38,93.23333333333333,5685300,-0.014721159848060902,-1
2009-09-24,92.0,92.71,90.77,92.11,92.27333333333333,5075100,-0.002926990002315102,-1
2009-09-25,91.44,92.25,89.75,90.52,91.40333333333332,4256800,-0.017412694234807624,-1
2009-09-28,91.04,92.81,90.6,92.21,92.02,3508000,0.01849776378571316,1
2009-09-29,91.96,92.33,90.1,91.72,92.00333333333333,4393900,-0.005328126561346136,-1
2009-09-30,92.26,94.17,91.43,93.36,93.26333333333334,8539200,0.017722529988596785,1
2009-10-01,92.5,92.9,90.37,91.04,92.14666666666666,6645100,-0.025164017600279625,-1
2009-10-02,90.05,91.14,89.58,89.85,90.34666666666665,5039400,-0.013157357148452866,-1
2009-10-05,90.25,90.93,88.27,88.67,89.95,7028500,-0.013219999837652294,-1
2009-10-06,89.33,91.08,88.4,90.91,90.44,6963700,0.02494839274185119,1
2009-10-07,91.5,94.48,91.15,93.97,93.31666666666668,7445100,0.03310557626120671,1
2009-10-08,94.8,96.72,94.23,95.22,95.58,9674300,0.013214421371399006,1
2009-10-09,95.0,95.95,94.26,95.71,95.55333333333333,4694000,0.005132782441442229,1
2009-10-12,96.17,96.25,93.07,93.6,95.33999999999999,5591400,-0.022292402724268676,-1
2009-10-13,93.83,95.25,93.68,94.83,94.63666666666666,4720000,0.013055431412089641,1
2009-10-14,96.22,97.82,96.02,97.46,97.16666666666667,5556800,0.02735622251972412,1
2009-10-15,95.13,97.06,95.08,96.01,96.06666666666666,6242100,-0.014989684705827577,-1
2009-10-16,95.3,96.12,93.61,95.32,95.58,7038400,-0.007212700478991214,-1
2009-10-19,95.35,96.28,94.25,94.68,95.43666666666667,6017400,-0.006736867584758053,-1
2009-10-20,95.91,96.1,94.27,94.98,95.66333333333334,7777600,0.003163558475192494,1
2009-10-21,95.27,96.63,92.91,93.42,95.10666666666667,7761200,-0.016560888047013816,-1
2009-10-22,93.66,94.1,91.7,93.45,93.73666666666666,16518500,0.0003210788276099188,1
2009-10-23,111.05,119.65,110.62,118.49,116.39666666666666,58305800,0.2374020349270767,1
2009-10-26,119.21,125.68,118.49,124.64,123.17666666666666,32271200,0.05060101329378966,1
2009-10-27,122.93,124.26,119.42,122.07,123.08666666666666,20304200,-0.02083493144072994,-1
2009-10-28,121.57,125.12,120.76,121.64,122.77666666666666,16887700,-0.0035287878725442823,-1
2009-10-29,123.9,124.3,120.12,122.58,123.59333333333332,12821800,0.007698015248421874,1
2009-10-30,121.97,122.9,118.21,118.81,121.22666666666667,13312200,-0.03123829958738965,-1
2009-11-02,118.66,119.5,116.71,118.84,119.0,11280000,0.0002524721242108279,1
2009-11-03,117.67,118.88,116.63,118.37,118.30666666666667,9478500,-0.003962738628604678,-1
2009-11-04,119.0,119.25,116.76,117.1,118.45,7617500,-0.01078704136213061,-1
